"","Estimate","90% LCL","90% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.453"," 0.112"," 0.794"," 0.205"," 2.211","74.000"," 0.030"
"any_app_usage_and_ema_preblock","-0.388","-0.732","-0.045"," 0.206","-1.883","74.000"," 0.064"
"(Intercept) + any_app_usage_and_ema_preblock"," 0.065","-0.002"," 0.131"," 0.040"," 1.625","74.000"," 0.108"
"(Intercept)","-1.759","-2.269","-1.249"," 0.306","-5.741","74.000"," 0.000"
"any_app_usage_and_ema_preblock"," 0.650"," 0.347"," 0.954"," 0.182"," 3.566","74.000"," 0.001"
"age"," 0.002","-0.004"," 0.007"," 0.003"," 0.457","74.000"," 0.649"
"is_male","-0.125","-0.361"," 0.111"," 0.142","-0.884","74.000"," 0.379"
"is_latino"," 0.214","-0.027"," 0.455"," 0.145"," 1.480","74.000"," 0.143"
"is_not_latino_and_black"," 0.135","-0.092"," 0.362"," 0.136"," 0.990","74.000"," 0.325"
"is_not_latino_and_other"," 0.132","-0.176"," 0.440"," 0.185"," 0.713","74.000"," 0.478"
"baseline_tobacco_history"," 0.001","-0.010"," 0.011"," 0.006"," 0.113","74.000"," 0.910"
"has_partner"," 0.017","-0.158"," 0.192"," 0.105"," 0.164","74.000"," 0.871"
"income_val","-0.004","-0.031"," 0.022"," 0.016","-0.270","74.000"," 0.788"
"hour_coinflip_local"," 0.003","-0.006"," 0.011"," 0.005"," 0.520","74.000"," 0.605"
"days_between_v1_and_coinflip_local"," 0.007","-0.006"," 0.020"," 0.008"," 0.950","74.000"," 0.345"
"any_response_2qs"," 0.029","-0.083"," 0.140"," 0.067"," 0.430","74.000"," 0.668"
"engagement_most_recent_eligible"," 0.599"," 0.394"," 0.804"," 0.123"," 4.864","74.000"," 0.000"
